Location,Bedrooms,Bathrooms,Amenities,Price
"Off Peponi Rd, 1, Spring Valley, Westlands",4,5,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 400,000
 / mont"
"muthaiga, Muthaiga",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 370,000
 / mont"
"nyari, 01, Nyari, Westlands",2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Parking']"," 120,000
 / mont"
Upper Hill,3,3,"['Alarm', 'Backup Generator', 'Balcony', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool', 'Wheelchair Access']"," 135,000
 / mont"
"Rosslyn lone tree, Rosslyn, Westlands",5,4,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Walk In Closet', 'Wheelchair Access']"," 570,000
 / mont"
"kilimani, Kilimani",4,4,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 90,000
 / mont"
"Kitisuru, Westlands",2,,"['Aircon', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet']"," 250
 / mont"
"Runda, Westlands",,,"['Balcony', 'Garden', 'Parking']"," 1,400,000
 / mont"
"Dikdik road, Kileleshwa",,,[]," 500,000
 / mont"
"Spring Valley, Westlands",4,,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 450,000
 / mont"
"Westlands Area, Westlands",2,2,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 165,000
 / mont"
"Kabete Lane, Lower kabete, Spring Valley, Westlands",3,2,"['Alarm', 'Backup Generator', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet']"," 170,000
 / mont"
"runda, Runda, Westlands",6,,"['Aircon', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Parking', 'Serviced', 'Staff Quarters']"," 660,000
 / mont"
"Westlands, Westlands Area",2,3,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool']"," 190,000
 / mont"
Kilimani,2,2,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Walk In Closet', 'Wheelchair Access']"," 160,000
 / mont"
"Mountain view, 01, Loresho, Westlands",3,2,"['BBQ', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 60,000
 / mont"
"Runda, Westlands",7,7,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 1,300,000
 / mont"
"Kiambu road, Kiambu Road",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 200,000
 / mont"
"kileleshwa, Kileleshwa",3,4,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 120,000
 / mont"
"Runda, 01, Westlands",5,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters']"," 350,000
 / mont"
"Lavington, Lavington green",5,5,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 250,000
 / mont"
Kilimani,4,4,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool']"," 150,000
 / mont"
"kileleshwa, Kileleshwa",3,3,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 150,000
 / mont"
"Rosslyn, Westlands",5,5,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 470,500
 / mont"
Kilimani,2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 150,000
 / mont"
"Gigiri, Westlands",3,4,"['Backup Generator', 'Balcony', 'CCTV', 'En Suite', 'Furnished', 'Gym']"," 400,000
 / mont"
Muthaiga,3,2,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 170,000
 / mont"
"Kitisuru, Lake View, Westlands",4,3,"['Alarm', 'BBQ', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 450,000
 / mont"
Upper Hill,1,1,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool', 'Wheelchair Access']"," 140,000
 / mont"
"miotoni road, Karen",5,5,"['Balcony', 'En Suite', 'Garden']"," 300,000
 / mont"
"Runda, 01, Westlands",4,4,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 293,000
 / mont"
"Runda, Westlands",6,5,"['Balcony', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 500,000
 / mont"
"Westlands Area, Westlands",,,[]," 427,670
 / mont"
